# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr      Npt   order   minmax   FeH_S05   OGLEID    Imean_ogle   Vmean_ogle   VmI          FeH_S16J                phi31v               phi31Kp              FeH_S16N              
  smc0039   406   0.583533   0.413    0.17    0.058   0.042   0.04     2.998    -0.331   9.2018    5.8339   19.214    1.024    0.0025221675   1      0.987   0.981    88.9     406   5       0.908    -1.837    smc0039   19.184       19.745       0.53100014   -1.3203422943330807     5.107770466664005    5.281770466664005    -1.3432156646113569   
  smc0041   720   0.595203   0.512    0.191   0.065   0.048   -0.019   2.764    -0.95    9.0852    5.3896   19.183    1.6419   0.0022804167   1      0.983   0.984    155.2    720   5       1.263    -1.947    smc0041   19.159       19.732       0.5489998    -1.7527942754343897     4.832630042569605    5.006630042569605    -2.053440405063956    
  smc0042   817   0.572287   0.641    0.202   0.101   0.074   -0.008   2.62     -0.815   8.9203    5.4937   18.97     1.036    0.0012680539   1      0.992   0.99     321.7    817   5       0.951    -1.626    smc0042   18.948       19.537       0.56700134   -1.5484180470614275     4.8927752583975455   5.066775258397546    -1.7153631245724483   
  smc0043   507   0.624528   0.666    0.227   0.114   0.074   0.0      2.827    -0.503   9.1088    5.7788   19.181    0.7942   0.0015664694   1      0.989   0.99     229.3    507   5       0.876    -1.412    smc0043   19.157       19.688       0.50699997   -1.590810394371731      5.071032598729851    5.245032598729852    -1.7146841470234122   
  smc0044   841   0.632285   0.347    0.121   0.06    0.034   0.022    2.938    -0.294   9.176     5.9219   18.739    1.604    0.0019072533   1      0.992   0.993    131.7    841   5       0.72     -1.626    smc0044   18.719       19.377       0.6380005    -1.5024430448067765     5.167980610326435    5.341980610326435    -1.5476427900934588   
  smc0045   781   0.511269   0.376    0.156   0.022   0.024   0.017    -2.917   2.89     9.6161    2.8396   19.389    1.7949   0.0022982073   1      0.986   0.989    119.5    781   5       0.77     1.97      smc0045   19.371       19.897       0.5079994    -2.1685555744510276     4.185026030594045    4.359026030594046    -2.8895741558285675   
  smc0046   506   0.730707   0.264    0.102   0.037   0.023   0.003    3.0      -0.318   9.2775    5.9563   18.998    0.5681   0.0011227272   1      0.986   0.986    110.0    506   5       0.511    -2.336    smc0046   18.987       19.615       0.6170006    -2.0010288749668454     5.192031028711349    5.366031028711349    -2.1316603428657217   
  smc0047   485   0.559193   0.677    0.229   0.096   0.075   -0.02    2.57     -1.06    8.8933    5.2833   19.095    0.7867   0.0016220618   1      0.987   0.987    232.0    485   5       0.907    -1.878    smc0047   19.072       19.597       0.5020008    -1.6373623398232038     4.773942543036693    4.947942543036693    -1.874043286003495    
  smc0048   413   0.591052   0.512    0.182   0.076   0.062   -0.012   2.665    -0.783   8.973     5.5376   18.95     0.5211   0.0012617433   1      0.982   0.985    179.8    413   5       0.732    -1.963    smc0048   18.932       19.671       0.72099876   -1.6145105987148591     4.918931703028963    5.092931703028963    -1.8105842585384835   
  smc0049   506   0.587212   0.683    0.236   0.109   0.081   -0.001   2.533    -0.939   8.8183    5.3477   18.934    0.7591   0.0015001977   1      0.99    0.99     239.4    506   5       1.049    -1.766    smc0049   18.908       19.393       0.45899963   -1.7411959117657458     4.809168291416114    4.983168291416114    -2.041153210480175    
  smc0051   826   0.737081   0.668    0.262   0.115   0.058   -0.012   2.992    0.062    9.2989    6.3812   13.254    0.1371   1.6598063E-4   1      0.991   0.989    1002.1   826   5       0.704    -1.198    smc0051   13.233       13.71        0.45600033   -1.6044128868291239     5.512904907919796    5.686904907919796    -1.3311565007941653   
  smc0052   833   0.593187   0.233    0.081   0.04    0.026   0.001    2.574    -1.037   8.8556    5.2437   17.861    0.2423   2.9087634E-4   1      0.993   0.989    284.0    833   5       0.319    -2.461    smc0052   17.857       18.705       0.84399986   -1.8491360493136249     4.752784556722131    4.926784556722131    -2.237631317333161    
  smc0053   829   0.556457   0.297    0.13    0.029   0.044   -0.073   -2.169   0.818    10.5426   7.3197   19.299    3.5553   0.004288661    1      0.991   0.99     61.2     829   3       0.957    -0.533    smc0053   19.253       19.794       0.49500084   0.5316866406310172      6.377741742743174    6.551741742743174    0.02602686443896829   
  smc0054   839   0.581983   0.597    0.189   0.096   0.071   0.01     2.695    -0.617   8.9575    5.6362   19.264    1.6903   0.0020146603   1      0.991   0.989    220.1    839   5       0.906    -1.475    smc0054   19.245       19.828       0.5639992    -1.4843950708396871     4.979393523151055    5.153393523151055    -1.6014020803716775   
